Method,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Mean MAE,CI_lower,CI_upper,95 % CI
BrainGenFlow (ours),0.2258,0.2117,0.2105,0.223,0.2127,0.2167,0.2079,0.2255,"[0.2079, 0.2255]"
Deep Regression,0.3047,0.2976,0.3002,0.3023,0.2965,0.3003,0.2961,0.3045,"[0.2961, 0.3045]"
RNN-AD,0.3017,0.2947,0.296,0.2951,0.2927,0.2961,0.2918,0.3003,"[0.2918, 0.3003]"
